district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Lee County School District, Alabama",62066,41649,53607,59334,66056,46178,11712,180,252,0,239,1232,2273,808,394,723,398,353,120,331,116,0,17,0,0,44,0,0,0,0,0,0,0,0,0,0,24,0,0,0,11,0,69,0,15,01,02070
"Limestone County School District, Alabama",61383,42897,59253,61001,73570,49533,6617,349,431,0,1,909,3543,1207,642,865,487,128,63,152,31,0,0,65,6,0,0,2,0,0,0,0,0,44,62,74,88,41,9,28,0,99,156,155,139,01,02100
"Linden City School District, Alabama",3704,2739,40108,55000,40898,2300,1357,10,0,0,0,9,28,5,22,21,2,61,0,13,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,02130
"Lowndes County School District, Alabama",10079,7062,30036,32056,40246,2485,7495,13,0,0,0,36,50,110,0,0,13,160,85,148,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,01,02160
"Macon County School District, Alabama",18708,12033,33370,29737,40070,2966,15442,16,32,0,11,89,152,44,51,15,41,279,426,252,657,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,9,01,02190
"Madison County School District, Alabama",124152,85466,75552,80432,86117,90879,22179,1234,2014,103,342,3829,3572,2155,862,1964,1152,623,266,511,434,23,3,7,0,17,14,92,34,13,0,26,0,30,0,63,15,143,140,88,83,79,12,237,119,01,02220
"Marengo County School District, Alabama",8810,5779,34422,61406,32641,3340,5444,0,0,0,0,15,11,74,39,71,57,67,70,144,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,02250
"Marion County School District, Alabama",24267,17350,34153,44239,38293,22221,792,137,48,0,0,390,679,516,166,300,208,6,0,0,67,0,0,1,0,0,0,0,0,0,0,0,0,0,14,17,0,50,8,13,2,0,35,26,24,01,02310
"Midfield City School District, Alabama",5085,3440,38750,34722,42059,646,4001,0,5,0,12,77,344,0,0,0,0,162,4,82,41,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3,22,0,0,0,01,02350
"Mobile County School District, Alabama",387747,261656,47070,50026,54588,215910,142071,2829,7651,36,1384,6163,11703,3886,2408,3717,2329,3407,1946,3156,1969,110,14,46,114,159,62,167,151,0,0,0,0,83,0,86,9,185,221,202,151,290,127,289,121,01,02370
"Monroe County School District, Alabama",21270,14718,30441,27571,31862,11544,9010,372,58,6,0,199,81,232,133,227,233,222,85,213,117,0,0,0,24,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,01,02400
"Montgomery County School District, Alabama",215450,142945,48723,46645,58184,70168,127632,272,6008,36,229,3642,7463,956,754,928,708,2837,2120,2791,2064,0,0,2,20,98,82,60,57,0,0,0,0,119,31,58,25,50,95,186,27,171,105,178,30,01,02430
"Morgan County School District, Alabama",50598,35295,54183,59032,62373,44527,2163,454,187,66,10,863,2328,748,498,872,495,7,50,15,45,0,0,0,0,0,0,0,0,0,0,0,0,25,9,18,0,40,9,110,0,71,84,100,0,01,02480
"Mountain Brook City School District, Alabama",20436,13359,152355,147500,211250,19683,233,5,283,0,0,96,136,514,270,555,209,0,3,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,01,02490
"Chickasaw City School District, Alabama",5817,3309,28611,31875,33125,2761,2677,46,0,0,24,195,114,40,10,23,20,48,27,124,25,7,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,01,00188
"Alabaster City School District, Alabama",33176,21764,80072,85117,93155,23535,4811,127,533,7,183,682,3298,529,311,565,312,135,28,87,50,0,0,0,0,0,0,34,0,0,0,0,0,65,20,66,26,0,0,18,22,73,20,94,48,01,00190
"Satsuma City School District, Alabama",6159,4316,64348,73558,90057,5482,476,0,0,0,77,69,55,144,0,85,29,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,00189
"Elmore County School District, Alabama",74128,51009,61994,68320,72688,54013,16034,193,439,0,173,1274,2002,1128,539,1027,488,333,329,374,304,0,0,0,0,13,20,22,0,0,0,0,0,0,4,19,0,38,25,80,28,57,50,27,0,01,01290
"Enterprise City School District, Alabama",27947,18563,62695,62431,76738,17317,6273,332,540,0,42,907,2536,370,204,302,199,154,109,130,77,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,40,0,88,78,70,15,01,01320
"Escambia County School District, Alabama",31817,22152,34967,37675,37773,19485,9731,1476,15,55,13,273,769,317,174,366,188,235,112,229,131,16,36,51,40,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,39,0,0,25,01,01350
"Etowah County School District, Alabama",60725,43067,51624,59009,61520,55759,2152,251,393,3,33,947,1187,1183,523,1226,603,36,12,26,5,0,0,0,0,34,0,3,27,0,0,0,0,15,0,0,2,38,13,0,5,17,0,19,19,01,01380
"Eufaula City School District, Alabama",12065,8127,33132,27420,42108,5673,5523,31,109,0,27,184,518,110,78,145,34,144,78,157,67,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,27,11,0,23,0,0,0,01,01410
"Fairfield City School District, Alabama",10720,7252,40652,38674,42163,636,9767,19,0,0,0,173,125,0,55,0,101,128,171,181,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,43,35,7,0,25,35,0,01,01440
"Fayette County School District, Alabama",15264,10824,39882,59025,39271,12723,1843,0,62,7,0,332,297,254,159,209,134,22,21,39,58,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,01,01470
"Florence City School District, Alabama",40309,26230,40526,43560,51602,29592,7953,124,366,62,44,557,1611,551,376,244,634,184,120,176,182,0,0,0,0,0,16,0,79,0,0,0,0,0,0,0,13,53,59,0,1,40,19,84,13,01,01530
district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Southwest Region School District, Alaska",2746,1537,40750,41750,44808,269,45,2252,26,0,0,139,15,0,1,4,1,0,0,0,0,62,46,44,47,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,2,0,0,02,00710
"Unalaska City School District, Alaska",4724,3421,94750,91750,103750,1094,152,123,2200,129,0,299,727,10,11,7,7,0,0,0,0,1,0,1,0,13,72,31,0,0,0,0,0,11,0,0,0,14,22,7,0,11,1,9,0,02,00720
"Chatham School District, Alaska",1264,1061,60461,63854,61382,722,57,324,16,0,0,67,78,0,0,7,9,0,0,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,0,0,0,0,02,00730
"Bering Strait School District, Alaska",6138,3128,44797,49688,40000,489,19,5315,125,1,0,163,26,0,9,5,0,0,0,0,0,177,93,146,84,0,0,0,0,0,0,0,0,0,0,0,0,14,2,6,2,1,0,0,0,02,00020
"Bristol Bay Borough School District, Alaska",875,635,79808,79063,91250,445,5,299,2,2,0,90,32,9,2,11,6,0,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,1,0,1,1,0,02,00030
"Alaska Gateway School District, Alaska",2720,1849,55486,67386,56250,1370,6,1139,122,0,0,73,10,0,3,16,33,0,4,0,0,33,40,12,27,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,00050
"Cordova City School District, Alaska",2829,2011,94625,62356,103690,1769,14,299,298,33,0,288,128,63,21,62,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,52,11,0,0,0,0,0,0,02,00060
"Copper River School District, Alaska",1802,1117,64583,67692,72500,1099,8,495,5,0,0,153,42,2,1,6,3,0,0,0,0,7,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,2,0,0,10,02,00070
"Craig City School District, Alaska",1189,800,63438,70625,66607,721,10,239,20,0,3,168,28,8,8,14,11,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,2,0,0,0,0,02,00090
"Delta/Greely School District, Alaska",4436,2849,81196,91346,84191,3728,16,61,61,4,0,159,407,106,104,76,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,13,0,13,0,0,0,02,00100
"Dillingham City School District, Alaska",2215,1358,74524,73250,82500,495,34,1266,41,3,0,207,169,21,0,6,0,0,6,0,0,34,14,39,17,0,0,8,0,0,0,0,0,0,0,0,0,0,7,10,0,1,0,0,0,02,00120
"Galena City School District, Alaska",495,309,72188,78125,81250,161,0,293,6,0,0,26,9,9,0,6,0,0,0,0,0,3,4,11,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,02,00130
"Ketchikan Gateway Borough School District, Alaska",13800,9642,72728,75104,87326,8827,104,1853,1101,27,56,1105,727,144,79,128,64,0,0,0,0,42,7,45,22,37,25,14,27,1,0,0,13,4,0,0,0,49,28,59,14,37,0,10,18,02,00150
"Anchorage School District, Alaska",293531,191870,84928,85359,105330,169960,15486,21640,27683,7088,875,23872,26927,2589,1709,2449,1306,444,294,378,177,615,157,449,514,723,336,764,390,363,86,108,88,156,158,132,51,761,715,859,370,658,423,622,399,02,00180
"Juneau Borough School District, Alaska",32227,22561,88390,84569,105274,20844,316,3305,2079,320,15,3162,2186,327,216,306,210,0,0,10,34,37,11,58,25,30,3,36,20,0,0,10,0,0,0,0,0,234,85,111,129,88,29,34,0,02,00210
"Haines Borough School District, Alaska",2518,1850,58059,57955,91114,1952,0,219,33,4,0,197,113,0,0,29,4,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,3,0,1,0,23,0,02,00270
"Hoonah City School District, Alaska",808,594,59375,76667,58438,171,8,429,18,0,0,114,68,0,0,0,0,2,0,0,0,8,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,02,00300
"Hydaburg City School District, Alaska",342,212,33750,-666666666,50938,35,4,247,0,28,0,28,0,0,0,0,0,0,0,0,0,8,10,12,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,02,00330
"Kake City School District, Alaska",570,393,56875,63750,58333,88,3,392,12,0,0,75,0,4,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,02,00360
"Kenai Peninsula Borough School District, Alaska",58464,40651,66064,73153,75629,46726,313,4514,917,195,352,3019,2428,846,463,804,365,0,5,0,7,70,96,76,98,37,28,17,33,0,0,0,0,0,0,0,50,192,68,152,67,74,99,37,100,02,00390
"Annette Island School District, Alaska",1654,1044,56188,68438,76458,215,0,1194,40,0,4,104,97,5,8,7,0,0,0,0,0,32,0,21,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,00525
"Klawock City School District, Alaska",831,585,55625,68750,58750,365,6,304,6,7,0,110,33,7,4,1,0,0,0,0,0,7,4,8,2,0,0,0,0,0,3,0,0,0,0,0,0,3,0,2,0,0,0,0,0,02,00450
"Kodiak Island Borough School District, Alaska",13451,8934,85839,74489,100870,6595,28,1610,3052,45,59,864,1198,96,168,98,52,0,0,0,0,20,20,28,7,112,53,42,7,0,0,0,0,0,0,0,0,59,55,61,0,0,0,65,24,02,00480
"Matanuska-Susitna Borough School District, Alaska",105369,68186,75493,84657,85573,83473,1207,6366,1446,237,106,7336,5198,1779,908,1650,773,32,0,36,36,160,162,132,125,47,46,73,51,0,0,5,0,28,0,0,0,318,173,276,89,140,77,132,75,02,00510
"Iditarod Area School District, Alaska",1139,694,38333,32321,44063,176,3,777,7,2,0,114,60,0,1,0,0,0,0,0,0,19,11,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,6,3,0,0,02,00520
"Nenana City School District, Alaska",341,217,48750,-666666666,62500,182,0,110,0,0,0,47,2,6,1,9,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,02,00540
"Nome School District, Alaska",3850,2392,84574,86641,90673,975,64,2111,28,13,0,411,248,11,6,5,0,0,0,0,0,42,41,60,35,0,1,0,0,0,5,0,0,1,0,0,0,8,1,8,5,7,0,9,5,02,00570
"Fairbanks North Star Borough School District, Alaska",99072,61846,76992,77035,98916,69282,4236,7204,3064,506,134,6674,7972,1086,905,1044,665,22,136,33,71,136,258,230,195,13,41,0,20,0,6,12,0,14,22,8,14,307,204,236,51,60,185,224,80,02,00600
"North Slope Borough School District, Alaska",9792,6505,79306,92179,77500,3027,141,4977,527,182,0,739,199,54,5,0,3,0,0,0,0,116,68,108,65,16,7,11,3,12,0,1,0,0,0,0,0,31,10,42,14,2,7,0,0,02,00610
"Northwest Arctic Borough School District, Alaska",7715,4209,60906,57105,67647,831,83,6332,77,8,0,272,112,13,0,5,8,0,0,0,0,159,96,174,97,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,11,8,5,0,0,02,00625
"Kashunamiut School District, Alaska",1037,580,40625,33750,44844,118,0,902,0,0,3,6,8,0,0,0,0,0,0,0,0,26,11,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,00005
"Lower Kuskokwim School District, Alaska",15461,8336,54986,59612,59286,1565,122,12644,193,37,0,464,436,35,12,9,1,4,1,0,0,419,239,366,219,16,5,0,0,1,0,0,0,0,0,0,0,4,2,7,26,0,1,6,0,02,00001
"Lower Yukon School District, Alaska",6466,3056,35745,31033,41141,161,8,6004,11,0,0,199,83,0,1,0,0,0,0,0,0,188,111,181,108,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,4,0,0,0,0,02,00003
"Yupiit School District, Alaska",1273,657,37292,28750,35625,53,1,1170,2,2,0,34,11,0,0,0,0,0,0,0,0,42,18,36,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,02,00004
"Aleutians East Borough School District, Alaska",3385,2616,69250,71500,77344,447,109,1553,666,34,0,271,305,5,2,4,0,0,0,0,0,25,36,36,4,0,0,4,7,0,0,0,0,0,0,0,0,10,0,5,0,3,0,2,0,02,00007
"Aleutian Region School District, Alaska",503,362,58750,63750,70000,214,32,82,58,22,0,31,64,0,8,0,0,0,0,0,0,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,02,00010
"Petersburg Borough School District, Alaska",3257,2195,69948,72708,95197,2133,33,238,149,19,6,298,381,58,17,30,7,0,0,0,0,4,7,2,14,1,0,4,0,0,0,0,0,0,0,0,0,4,7,4,3,1,0,0,4,02,00660
"Kuspuk School District, Alaska",1387,800,43750,53750,39875,146,11,1134,0,0,0,72,24,0,0,0,0,0,0,0,0,34,30,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,02,00760
"Denali Borough School District, Alaska",2246,1627,81719,74167,86641,1892,26,49,58,0,5,209,7,17,19,38,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,5,0,0,0,0,02,00770
"Yukon Flats School District, Alaska",1250,792,30909,41250,33036,161,0,960,12,0,0,81,36,0,4,0,0,0,0,0,0,24,11,24,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,0,0,0,0,02,00775
"Valdez City School District, Alaska",3847,2838,85085,58968,89821,3302,5,87,35,0,33,86,299,64,36,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,00780
"Chugach School District, Alaska",487,334,63125,59375,66250,204,8,157,38,25,0,40,15,0,0,3,0,0,5,0,0,6,4,0,10,2,0,4,0,3,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,02,00800
"Yukon-Koyukuk School District, Alaska",1951,1287,41080,40000,44028,456,0,1373,13,0,0,75,34,11,0,0,0,0,0,0,0,32,20,32,18,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,0,0,0,0,02,00862
"Tanana City School District, Alaska",214,151,40313,51250,31250,23,1,175,0,0,0,13,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,00715
"Wrangell School District, Alaska",2502,1925,53894,61625,75000,1548,1,555,18,9,0,245,126,35,28,11,11,0,0,0,0,19,2,16,6,0,0,0,0,0,0,0,0,0,0,0,0,24,2,2,9,0,0,0,0,02,00810
"Yakutat School District, Alaska",649,442,71607,79000,77917,281,5,234,32,8,0,39,50,2,0,5,0,0,0,0,0,0,4,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,02,00840
"Sitka School District, Alaska",8640,6146,73682,73640,86364,5320,61,1063,575,8,20,1009,584,98,26,66,44,0,1,0,0,27,17,22,11,26,14,8,8,0,0,1,0,0,0,0,0,47,25,21,11,16,3,7,5,02,00240
"Lake and Peninsula Borough School District, Alaska",1393,918,44135,66500,42813,292,16,972,23,5,1,82,2,10,0,6,0,0,3,2,1,10,8,22,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,02,00485
"Pelican City School District, Alaska",67,56,55417,-666666666,47500,44,0,16,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,00630
"Pribilof School District, Alaska",471,344,59750,62083,66250,50,7,392,0,0,4,8,10,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,02,00670
"St. Marys City School District, Alaska",747,374,42500,53125,43125,16,0,676,0,5,0,48,2,0,0,0,0,0,0,0,0,16,14,15,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,02,00680
"Skagway School District, Alaska",1107,867,73906,70000,78250,909,37,56,9,0,3,30,63,13,14,14,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,02,00690
"Southeast Island School District, Alaska",1821,1423,48050,66111,50083,1476,6,90,13,5,0,142,89,19,6,19,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,3,0,2,0,0,02,00700
district_name,pop_total,pop_total_25plus,median_household_income,median_inc_2544,median_inc_4564,pop_white,pop_black,pop_amerindian,pop_asian,pop_nativehawaii,pop_otherrace,pop_tworaces,pop_hispanic,pop_white_m_15-17,pop_white_m_18-19,pop_white_f_15-17,pop_white_f_18-19,pop_black_m_15-17,pop_black_m_18-19,pop_black_f_15-17,pop_black_f_18-19,pop_amerindian_m_15-17,pop_amerindian_m_18-19,pop_amerindian_f_15-17,pop_amerindian_f_18-19,pop_asian_m_15-17,pop_asian_m_18-19,pop_asian_f_15-17,pop_asian_f_18-19,pop_nativehawaii_m_15-17,pop_nativehawaii_m_18-19,pop_nativehawaii_f_15-17,pop_nativehawaii_f_18-19,pop_otherrace_m_15-17,pop_otherrace_m_18-19,pop_otherrace_f_15-17,pop_otherrace_f_18-19,pop_tworaces_m_15-17,pop_tworaces_m_18-19,pop_tworaces_f_15-17,pop_tworaces_f_18-19,pop_hispanic_m_15-17,pop_hispanic_m_18-19,pop_hispanic_f_15-17,pop_hispanic_f_18-19,fips_state_code,district
"Indian Oasis-Baboquivari Unified District, Arizona",7447,4046,25278,23250,27009,225,6,6788,0,14,0,95,319,7,0,0,0,0,0,0,0,207,74,181,102,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,21,0,18,9,04,03950
"J. O. Combs Unified School District, Arizona",45245,27373,72790,79667,77008,32538,1226,1435,823,0,0,938,8285,648,332,934,348,0,0,63,124,332,132,0,0,88,0,50,0,0,0,0,0,4,0,0,19,13,0,93,0,125,362,196,253,04,03990
"Joseph City Unified District, Arizona",2045,1125,63272,63047,66553,1139,0,442,1,0,0,206,257,38,13,67,32,0,0,0,0,4,0,28,6,0,0,1,0,0,0,0,0,0,0,0,0,10,0,19,0,0,0,1,9,04,04010
"Kayenta Unified District, Arizona",10465,6127,24714,29901,26037,288,8,9980,34,57,13,44,41,10,0,0,0,0,0,0,0,291,204,338,151,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,04060
"Lake Havasu Unified District, Arizona",57747,46180,53489,58594,64546,46040,179,548,625,7,0,751,9597,635,295,561,365,0,0,0,0,0,0,26,29,0,0,0,0,0,0,0,0,89,19,21,40,32,72,76,15,388,167,374,169,04,04280
"Littlefield Unified District, Arizona",3444,2528,34511,-666666666,32974,2015,0,0,0,0,0,55,1374,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,29,0,04,04410
"Mammoth-San Manuel Unified District, Arizona",5582,4108,39454,49318,39543,1885,0,4,0,0,6,130,3557,42,7,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,14,71,45,04,04570
"Marana Unified District, Arizona",99395,67787,74362,81056,83017,64145,1764,446,2815,278,81,3045,26821,887,439,782,319,24,18,29,8,37,17,22,6,49,18,42,23,17,0,17,0,52,147,102,87,237,114,276,137,593,505,712,718,04,04630
"Sahuarita Unified District, Arizona",29381,18508,69923,88148,73750,14931,593,26,455,0,27,852,12497,238,100,296,135,9,23,0,0,0,0,15,0,28,0,0,0,0,0,0,0,0,0,7,44,50,27,39,0,276,60,274,190,04,07300
"San Simon Unified District, Arizona",660,496,48839,50000,60893,476,8,4,0,0,0,5,167,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,34,04,07430
"Santa Cruz Valley Unified District, Arizona",20096,12685,51944,50305,60000,3414,0,0,76,0,16,38,16552,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,41,14,0,0,0,0,362,199,378,415,04,07520
"Scottsdale Unified District, Arizona",247944,189461,83962,90728,109908,196196,4523,2051,11253,404,332,4807,28378,3546,1154,2750,1023,102,39,55,58,45,30,54,33,105,18,234,19,0,0,0,0,161,129,192,9,173,44,133,21,658,474,635,254,04,07570
"Seligman Unified District, Arizona",1686,1305,36544,96875,44423,1299,0,49,0,0,0,36,302,37,24,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,15,0,04,07630
"Show Low Unified District, Arizona",17121,11990,49985,57273,55052,13459,87,294,133,0,0,317,2831,231,131,173,101,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,54,91,0,38,24,13,37,0,72,95,77,84,04,07700
"Deer Valley Unified District, Arizona",259108,177954,82816,86991,97574,189562,6550,1951,15781,207,619,6961,37477,4085,2150,3745,2187,259,117,149,88,40,40,31,46,152,256,229,122,0,0,0,0,230,47,153,185,416,131,316,93,1139,607,1003,752,04,07750
"Snowflake Unified District, Arizona",12742,8033,44696,59028,43750,10389,37,627,0,0,129,354,1206,285,121,253,166,0,0,0,0,25,0,33,28,0,0,0,0,0,0,0,0,0,0,0,0,11,0,48,0,27,33,48,60,04,07820
"St. David Unified District, Arizona",2687,2249,42369,56048,53750,2121,37,12,26,0,0,69,422,24,0,42,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,08020
"St. Johns Unified District, Arizona",4091,2488,48773,40968,72589,2103,103,219,0,0,12,124,1530,0,53,76,58,0,0,0,0,9,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,152,0,04,08080
"Sunnyside Unified District, Arizona",94062,56026,39783,40415,43996,13417,5005,3093,1043,21,0,1041,70442,270,65,99,18,135,65,199,65,188,96,252,108,13,0,0,12,0,0,0,0,333,306,281,136,226,139,179,238,2003,1276,1718,1222,04,08170
"Superior Unified School District, Arizona",3511,2843,37438,43427,33309,1256,0,43,137,0,0,32,2043,6,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,26,12,43,20,04,08230
"Tanque Verde Unified District, Arizona",10950,8387,111571,135926,136728,9302,32,34,242,0,0,316,1024,185,46,138,87,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,12,0,29,24,0,0,12,23,53,13,04,08280
"Thatcher Unified District, Arizona",7577,4064,60161,61346,70075,5437,51,94,34,7,0,92,1862,160,148,185,178,0,49,1,0,0,0,0,6,0,5,0,6,0,0,0,7,0,0,0,0,0,0,0,0,95,69,47,63,04,08410
"Tombstone Unified District, Arizona",7157,5483,43300,52295,39208,5294,190,67,102,3,15,350,1136,64,11,18,19,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,17,0,40,16,29,47,04,08600
"Tuba City Unified District, Arizona",15786,9443,38599,43750,44743,253,8,15182,31,20,0,61,231,0,1,0,0,0,0,0,0,194,135,401,293,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,3,0,04,08680
"Wickenburg Unified District, Arizona",14431,12237,59109,74761,70964,12871,42,450,55,26,7,82,898,234,13,124,6,0,0,0,0,70,1,15,7,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,9,3,9,12,04,09190
"Tucson Unified District, Arizona",480094,312902,46980,49354,57107,228296,19448,11354,13363,758,641,10830,195404,2296,4086,2562,4369,504,570,427,488,447,326,554,338,158,570,166,402,10,8,20,0,1475,933,1132,1268,630,469,627,466,5174,3794,4992,3973,04,08800
"Vail Unified District, Arizona",63405,40687,86920,95895,98155,43370,1742,410,1495,39,189,1849,14311,872,410,828,341,16,39,76,0,0,20,0,0,26,12,12,0,0,0,0,0,165,92,116,11,117,38,102,60,544,149,488,199,04,08850
